Name,Roll,Branch,StartYear,PreviousCourses,CurrentCourses
Angel P_93,874,EE,2021,COA:9|DBMS:10|SE:6|OOPS:5,DBMS|DSA|CN
Krishna K_94,231,DS,2026,TOC:8|OOPS:7,AI|OS
Aditya P_95,412,ME,2024,SE:9,DBMS|DSA
Aarav K_96,KDB69,DS,2023,DSA:8|TOC:8|DBMS:8,DBMS|CN
Pari R_97,267,DS,2024,COA:9|CN:7,DBMS|DSA
Ananya M_98,862,AIML,2020,OS:6|DBMS:7|CN:7,CN
Navya M_99,917,EE,2021,DBMS:7|AI:7,ML
Krishna K_100,231,DS,2025,TOC:8|OOPS:7,AI|OS
Sai S_101,FVB35,ECE,2017,DSA:10|ML:8,CN
Atharv P_102,DWV26,IT,2020,TOC:9,ML
Vihaan K_103,AZS78,ME,2026,CN:6|COA:10,DBMS|OS
Saanvi P_104,247,CE,2021,DAA:8,DSA|CN|COA
Myra A_105,249,CE,2019,SE:5|ML:6|COA:10,DBMS|AI|ML
Aarohi T_106,ICG22,CSE,2024,OOPS:7|AI:7,DSA|OS
Aditya K_107,841,CE,2020,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Navya M_108,917,EE,2021,DBMS:7|AI:7,ML
Muhammad P_109,WBP33,ME,2021,TOC:5,AI
Reyansh K_110,FMA79,CSE,2023,COA:7|OS:8,OS
Aarohi P_111,626,EE,2023,OOPS:6,OS
Shaurya A_112,667,ME,2018,OOPS:8,OS|CN|ML
Atharv P_113,DWV26,IT,2023,TOC:9,ML
Myra A_114,249,CE,2018,SE:5|ML:6|COA:10,DBMS|AI|ML
Myra A_115,249,CE,2021,SE:5|ML:6|COA:10,DBMS|AI|ML
Rian R_116,574,ME,2021,DBMS:10|DSA:10|SE:9,DBMS|OS
Vivaan R_117,LUU29,CSE,2017,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Myra K_118,TNZ13,DS,2019,COA:7|OS:8,AI
Rian T_119,ALE69,EE,2024,SE:6|COA:7|DAA:7|ML:6,OS|CN
Navya T_120,584,IT,2022,ML:10|COA:5|DSA:5,DBMS|CN
Muhammad P_121,NZR11,CE,2021,CN:5|DSA:7|TOC:7,AI|OS|CN
Myra K_122,TNZ13,DS,2022,COA:7|OS:8,AI
Sai R_123,VRP70,CE,2025,DAA:5|OS:9,DBMS|OS|AI
Ira P_124,650,ME,2017,CN:6|TOC:6,OS
Krishna K_125,231,DS,2024,TOC:8|OOPS:7,AI|OS
Navya P_126,GLC69,ME,2023,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Reyansh S_127,AJQ25,ECE,2022,AI:6,COA|ML|DSA
Aarohi P_128,626,EE,2022,OOPS:6,OS
Ananya A_129,GCJ17,EE,2017,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Rian R_130,574,ME,2022,DBMS:10|DSA:10|SE:9,DBMS|OS
Reyansh S_131,AJQ25,ECE,2021,AI:6,COA|ML|DSA
Myra K_132,TNZ13,DS,2018,COA:7|OS:8,AI
Vivaan R_133,LUU29,CSE,2021,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Angel P_134,874,EE,2020,COA:9|DBMS:10|SE:6|OOPS:5,DBMS|DSA|CN
Reyansh S_135,AJQ25,ECE,2022,AI:6,COA|ML|DSA
Pari R_136,267,DS,2025,COA:9|CN:7,DBMS|DSA
Shaurya P_137,996,ECE,2021,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Arya M_138,XIY73,DS,2027,OS:5|AI:6|CN:5,AI|DBMS|COA
Muhammad P_139,WBP33,ME,2022,TOC:5,AI
Vivaan R_140,LUU29,CSE,2023,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Sai R_141,VRP70,CE,2023,DAA:5|OS:9,DBMS|OS|AI
Shaurya P_142,996,ECE,2025,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Vihaan K_143,AZS78,ME,2020,CN:6|COA:10,DBMS|OS
Myra A_144,249,CE,2018,SE:5|ML:6|COA:10,DBMS|AI|ML
Ananya T_145,374,CSE,2022,CN:7,ML
Navya S_146,870,DS,2022,DBMS:5|COA:10|CN:5|DSA:10,OS|COA
Rian R_147,183,CE,2019,COA:8,CN
Vivaan R_148,LUU29,CSE,2019,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Aarav K_149,DPA73,EE,2020,AI:5|DAA:8,AI|CN|OS
Muhammad P_150,WBP33,ME,2024,TOC:5,AI
Shaurya A_151,667,ME,2019,OOPS:8,OS|CN|ML
Krishna R_152,560,CE,2027,OS:5,ML|DSA
Pari R_153,267,DS,2026,COA:9|CN:7,DBMS|DSA
Aditya K_154,841,CE,2024,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Sara R_155,998,IT,2025,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Shaurya A_156,667,ME,2022,OOPS:8,OS|CN|ML
Saanvi A_157,346,CE,2021,CN:7|SE:5|ML:10,DSA|AI|ML
Shaurya A_158,667,ME,2016,OOPS:8,OS|CN|ML
Vivaan R_159,LUU29,CSE,2017,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Sai S_160,FVB35,ECE,2021,DSA:10|ML:8,CN
Vihaan K_161,AZS78,ME,2025,CN:6|COA:10,DBMS|OS
Ananya A_162,GCJ17,EE,2018,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Atharv M_163,JQR11,DS,2018,DAA:7|CN:7|DBMS:8,COA|AI|OS
Reyansh S_164,AJQ25,ECE,2023,AI:6,COA|ML|DSA
Krishna K_165,231,DS,2024,TOC:8|OOPS:7,AI|OS
Rian T_166,ALE69,EE,2025,SE:6|COA:7|DAA:7|ML:6,OS|CN
Ananya T_167,374,CSE,2016,CN:7,ML
Krishna K_168,231,DS,2026,TOC:8|OOPS:7,AI|OS
Muhammad P_169,NZR11,CE,2020,CN:5|DSA:7|TOC:7,AI|OS|CN
Arya M_170,XIY73,DS,2024,OS:5|AI:6|CN:5,AI|DBMS|COA
Aarav T_171,TXU38,EE,2026,DAA:5|DSA:10,DSA
Saanvi P_172,247,CE,2023,DAA:8,DSA|CN|COA
Aarav T_173,TXU38,EE,2026,DAA:5|DSA:10,DSA
Navya P_174,GLC69,ME,2025,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Myra A_175,249,CE,2023,SE:5|ML:6|COA:10,DBMS|AI|ML
Reyansh S_176,AJQ25,ECE,2027,AI:6,COA|ML|DSA
Reyansh M_177,900,IT,2024,DAA:5|CN:6|OOPS:6|OS:9,OS
Myra A_178,249,CE,2020,SE:5|ML:6|COA:10,DBMS|AI|ML
Reyansh S_179,AJQ25,ECE,2022,AI:6,COA|ML|DSA
Saanvi P_180,247,CE,2018,DAA:8,DSA|CN|COA
Shaurya A_181,667,ME,2019,OOPS:8,OS|CN|ML
Shaurya P_182,996,ECE,2024,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Sai R_183,VRP70,CE,2021,DAA:5|OS:9,DBMS|OS|AI
Ananya A_184,GCJ17,EE,2020,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Shaurya P_185,996,ECE,2019,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Myra R_186,LBY37,CE,2020,SE:6|DBMS:5|ML:8|CN:6,COA
Ananya T_187,374,CSE,2021,CN:7,ML
Kabir P_188,UOE14,CSE,2022,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Vivaan R_189,LUU29,CSE,2020,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Muhammad P_190,WBP33,ME,2022,TOC:5,AI
Reyansh S_191,AJQ25,ECE,2025,AI:6,COA|ML|DSA
Aarohi P_192,626,EE,2022,OOPS:6,OS
Arya M_193,XIY73,DS,2023,OS:5|AI:6|CN:5,AI|DBMS|COA
Sara R_194,998,IT,2024,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Saanvi P_195,247,CE,2023,DAA:8,DSA|CN|COA
Aditya P_196,412,ME,2019,SE:9,DBMS|DSA
Aditya P_197,412,ME,2024,SE:9,DBMS|DSA
Kabir P_198,UOE14,CSE,2023,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Angel P_199,874,EE,2019,COA:9|DBMS:10|SE:6|OOPS:5,DBMS|DSA|CN
Myra K_200,TNZ13,DS,2018,COA:7|OS:8,AI
Rian R_201,183,CE,2021,COA:8,CN
Aditya P_202,412,ME,2025,SE:9,DBMS|DSA
Saanvi S_203,127,CE,2017,SE:8|DBMS:6,CN
Pari R_204,267,DS,2025,COA:9|CN:7,DBMS|DSA
Arya M_205,XIY73,DS,2022,OS:5|AI:6|CN:5,AI|DBMS|COA
Myra A_206,249,CE,2017,SE:5|ML:6|COA:10,DBMS|AI|ML
Atharv M_207,JQR11,DS,2021,DAA:7|CN:7|DBMS:8,COA|AI|OS
Reyansh K_208,FMA79,CSE,2024,COA:7|OS:8,OS
Reyansh M_209,900,IT,2019,DAA:5|CN:6|OOPS:6|OS:9,OS
Kabir P_210,UOE14,CSE,2020,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Atharv M_211,JQR11,DS,2020,DAA:7|CN:7|DBMS:8,COA|AI|OS
Myra K_212,TNZ13,DS,2021,COA:7|OS:8,AI
Ananya M_213,862,AIML,2021,OS:6|DBMS:7|CN:7,CN
Saanvi P_214,247,CE,2019,DAA:8,DSA|CN|COA
Kabir P_215,UOE14,CSE,2023,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Pari R_216,267,DS,2026,COA:9|CN:7,DBMS|DSA
Rian R_217,574,ME,2024,DBMS:10|DSA:10|SE:9,DBMS|OS
Rian A_218,MRC72,CE,2022,DSA:7,DSA|ML|DBMS
Saanvi A_219,346,CE,2020,CN:7|SE:5|ML:10,DSA|AI|ML
Reyansh K_220,FMA79,CSE,2020,COA:7|OS:8,OS
Arya M_221,XIY73,DS,2023,OS:5|AI:6|CN:5,AI|DBMS|COA
Aarav T_222,TXU38,EE,2027,DAA:5|DSA:10,DSA
Aarav K_223,DPA73,EE,2020,AI:5|DAA:8,AI|CN|OS
Ira P_224,650,ME,2019,CN:6|TOC:6,OS
Ananya M_225,862,AIML,2023,OS:6|DBMS:7|CN:7,CN
Vivaan R_226,LUU29,CSE,2019,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Aarav T_227,TXU38,EE,2022,DAA:5|DSA:10,DSA
Vihaan K_228,AZS78,ME,2021,CN:6|COA:10,DBMS|OS
Reyansh S_229,AJQ25,ECE,2027,AI:6,COA|ML|DSA
Saanvi P_230,247,CE,2018,DAA:8,DSA|CN|COA
Navya P_231,GLC69,ME,2024,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Saanvi P_232,247,CE,2024,DAA:8,DSA|CN|COA
Reyansh M_233,900,IT,2018,DAA:5|CN:6|OOPS:6|OS:9,OS
Shaurya A_234,667,ME,2021,OOPS:8,OS|CN|ML
Ananya A_235,GCJ17,EE,2018,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Navya M_236,917,EE,2022,DBMS:7|AI:7,ML
Reyansh M_237,900,IT,2019,DAA:5|CN:6|OOPS:6|OS:9,OS
Myra K_238,TNZ13,DS,2017,COA:7|OS:8,AI
Navya M_239,917,EE,2023,DBMS:7|AI:7,ML
Shaurya P_240,996,ECE,2019,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Rian T_241,ALE69,EE,2026,SE:6|COA:7|DAA:7|ML:6,OS|CN
Aarav T_242,TXU38,EE,2024,DAA:5|DSA:10,DSA
Sara R_243,998,IT,2024,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Krishna K_244,231,DS,2024,TOC:8|OOPS:7,AI|OS
Saanvi A_245,346,CE,2022,CN:7|SE:5|ML:10,DSA|AI|ML
Reyansh S_246,AJQ25,ECE,2023,AI:6,COA|ML|DSA
Muhammad P_247,NZR11,CE,2021,CN:5|DSA:7|TOC:7,AI|OS|CN
Sai R_248,VRP70,CE,2024,DAA:5|OS:9,DBMS|OS|AI
Saanvi S_249,127,CE,2020,SE:8|DBMS:6,CN
Rian R_250,574,ME,2021,DBMS:10|DSA:10|SE:9,DBMS|OS
Riya T_251,692,ECE,2024,DBMS:6|OOPS:5,DSA|AI
Muhammad P_252,WBP33,ME,2023,TOC:5,AI
Rian T_253,ALE69,EE,2027,SE:6|COA:7|DAA:7|ML:6,OS|CN
Navya S_254,870,DS,2017,DBMS:5|COA:10|CN:5|DSA:10,OS|COA
Aarav K_255,DPA73,EE,2020,AI:5|DAA:8,AI|CN|OS
Arya M_256,XIY73,DS,2027,OS:5|AI:6|CN:5,AI|DBMS|COA
Sara R_257,998,IT,2025,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Navya P_258,GLC69,ME,2025,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Kabir P_259,UOE14,CSE,2023,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Navya A_260,646,EE,2025,TOC:7,ML|OS
Reyansh K_261,FMA79,CSE,2022,COA:7|OS:8,OS
Ananya M_262,862,AIML,2023,OS:6|DBMS:7|CN:7,CN
Vivaan R_263,LUU29,CSE,2022,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Sai S_264,FVB35,ECE,2020,DSA:10|ML:8,CN
Vivaan R_265,LUU29,CSE,2019,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Pari R_266,267,DS,2021,COA:9|CN:7,DBMS|DSA
Saanvi A_267,346,CE,2018,CN:7|SE:5|ML:10,DSA|AI|ML
Rian A_268,MRC72,CE,2021,DSA:7,DSA|ML|DBMS
Saanvi S_269,127,CE,2022,SE:8|DBMS:6,CN
Shaurya A_270,667,ME,2017,OOPS:8,OS|CN|ML
Aadhya S_271,HHS63,CSE,2020,CN:8,DBMS|OS
Pari R_272,267,DS,2025,COA:9|CN:7,DBMS|DSA
Kabir P_273,UOE14,CSE,2026,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Ananya T_274,374,CSE,2021,CN:7,ML
Krishna K_275,231,DS,2021,TOC:8|OOPS:7,AI|OS
Aarav K_276,DPA73,EE,2025,AI:5|DAA:8,AI|CN|OS
Kabir P_277,UOE14,CSE,2020,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Sai S_278,FVB35,ECE,2016,DSA:10|ML:8,CN
Navya A_279,646,EE,2025,TOC:7,ML|OS
Muhammad P_280,WBP33,ME,2021,TOC:5,AI
Muhammad P_281,NZR11,CE,2024,CN:5|DSA:7|TOC:7,AI|OS|CN
Reyansh S_282,AJQ25,ECE,2022,AI:6,COA|ML|DSA
Riya T_283,692,ECE,2023,DBMS:6|OOPS:5,DSA|AI
Navya S_284,870,DS,2018,DBMS:5|COA:10|CN:5|DSA:10,OS|COA
Reyansh M_285,900,IT,2021,DAA:5|CN:6|OOPS:6|OS:9,OS
Aarohi T_286,ICG22,CSE,2021,OOPS:7|AI:7,DSA|OS
Aarav K_287,KDB69,DS,2020,DSA:8|TOC:8|DBMS:8,DBMS|CN
Navya T_288,584,IT,2026,ML:10|COA:5|DSA:5,DBMS|CN
Riya T_289,692,ECE,2021,DBMS:6|OOPS:5,DSA|AI
Muhammad P_290,WBP33,ME,2020,TOC:5,AI
Rian T_291,ALE69,EE,2027,SE:6|COA:7|DAA:7|ML:6,OS|CN
Atharv M_292,JQR11,DS,2016,DAA:7|CN:7|DBMS:8,COA|AI|OS
Krishna R_293,560,CE,2023,OS:5,ML|DSA
Aadhya S_294,HHS63,CSE,2025,CN:8,DBMS|OS
Vihaan K_295,AZS78,ME,2026,CN:6|COA:10,DBMS|OS
Atharv P_296,DWV26,IT,2022,TOC:9,ML
Aditya K_297,841,CE,2019,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Aarohi P_298,626,EE,2021,OOPS:6,OS
Krishna R_299,560,CE,2021,OS:5,ML|DSA
Navya M_300,917,EE,2019,DBMS:7|AI:7,ML
Myra R_301,LBY37,CE,2023,SE:6|DBMS:5|ML:8|CN:6,COA
Aarohi P_302,626,EE,2024,OOPS:6,OS
Atharv P_303,DWV26,IT,2021,TOC:9,ML
Krishna K_304,231,DS,2026,TOC:8|OOPS:7,AI|OS
Aarav T_305,TXU38,EE,2022,DAA:5|DSA:10,DSA
Saanvi P_306,247,CE,2020,DAA:8,DSA|CN|COA
Ananya T_307,374,CSE,2019,CN:7,ML
Navya T_308,584,IT,2026,ML:10|COA:5|DSA:5,DBMS|CN
Navya P_309,GLC69,ME,2023,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Sai R_310,VRP70,CE,2023,DAA:5|OS:9,DBMS|OS|AI
Aditya P_311,412,ME,2025,SE:9,DBMS|DSA
Navya P_312,GLC69,ME,2022,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Navya M_313,917,EE,2019,DBMS:7|AI:7,ML
Navya S_314,870,DS,2022,DBMS:5|COA:10|CN:5|DSA:10,OS|COA
Atharv M_315,JQR11,DS,2018,DAA:7|CN:7|DBMS:8,COA|AI|OS
Sai R_316,VRP70,CE,2022,DAA:5|OS:9,DBMS|OS|AI
Sara R_317,998,IT,2027,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Ananya M_318,862,AIML,2025,OS:6|DBMS:7|CN:7,CN
Reyansh S_319,AJQ25,ECE,2026,AI:6,COA|ML|DSA
Myra A_320,249,CE,2022,SE:5|ML:6|COA:10,DBMS|AI|ML
Ananya T_321,374,CSE,2017,CN:7,ML
Sara R_322,998,IT,2027,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Muhammad P_323,NZR11,CE,2024,CN:5|DSA:7|TOC:7,AI|OS|CN
Sai S_324,FVB35,ECE,2021,DSA:10|ML:8,CN
Ananya A_325,GCJ17,EE,2021,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Vivaan R_326,LUU29,CSE,2021,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Reyansh K_327,FMA79,CSE,2021,COA:7|OS:8,OS
Aditya P_328,412,ME,2025,SE:9,DBMS|DSA
Pari R_329,267,DS,2027,COA:9|CN:7,DBMS|DSA
Rian R_330,183,CE,2018,COA:8,CN
Aarav T_331,TXU38,EE,2024,DAA:5|DSA:10,DSA
Sai R_332,VRP70,CE,2021,DAA:5|OS:9,DBMS|OS|AI
Sai S_333,FVB35,ECE,2021,DSA:10|ML:8,CN
Aditya P_334,412,ME,2025,SE:9,DBMS|DSA
Rian A_335,MRC72,CE,2021,DSA:7,DSA|ML|DBMS
Atharv P_336,DWV26,IT,2022,TOC:9,ML
Rian T_337,ALE69,EE,2022,SE:6|COA:7|DAA:7|ML:6,OS|CN
Ananya A_338,GCJ17,EE,2020,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Aditya P_339,412,ME,2023,SE:9,DBMS|DSA
Vivaan R_340,LUU29,CSE,2017,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Rian A_341,MRC72,CE,2020,DSA:7,DSA|ML|DBMS
Navya M_342,917,EE,2025,DBMS:7|AI:7,ML
Aditya K_343,841,CE,2022,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Kabir P_344,UOE14,CSE,2025,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Saanvi P_345,247,CE,2021,DAA:8,DSA|CN|COA
Rian R_346,183,CE,2021,COA:8,CN
Saanvi P_347,247,CE,2021,DAA:8,DSA|CN|COA
Aarav K_348,DPA73,EE,2024,AI:5|DAA:8,AI|CN|OS
Atharv M_349,JQR11,DS,2016,DAA:7|CN:7|DBMS:8,COA|AI|OS
Saanvi S_350,127,CE,2018,SE:8|DBMS:6,CN
Muhammad P_351,NZR11,CE,2021,CN:5|DSA:7|TOC:7,AI|OS|CN
Muhammad P_352,WBP33,ME,2025,TOC:5,AI
Vivaan R_353,LUU29,CSE,2021,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Kabir P_354,UOE14,CSE,2025,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Shaurya P_355,996,ECE,2024,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Aarohi T_356,ICG22,CSE,2022,OOPS:7|AI:7,DSA|OS
Saanvi A_357,346,CE,2019,CN:7|SE:5|ML:10,DSA|AI|ML
Pari R_358,267,DS,2022,COA:9|CN:7,DBMS|DSA
Krishna K_359,231,DS,2026,TOC:8|OOPS:7,AI|OS
Aarohi P_360,626,EE,2023,OOPS:6,OS
Sai S_361,FVB35,ECE,2021,DSA:10|ML:8,CN
Navya M_362,917,EE,2023,DBMS:7|AI:7,ML
Reyansh M_363,900,IT,2019,DAA:5|CN:6|OOPS:6|OS:9,OS
Aditya P_364,412,ME,2021,SE:9,DBMS|DSA
